"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月08日04時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時35分","0","0","0","0","0","0","0","0","0","0","0"
