"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日16時20分","0","14","20","0","0","44","0","0","216","0","0"
"2013年02月05日16時25分","0","0","0","0","0","0","0","0","57","0","241"
"2013年02月05日16時30分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日16時35分","73","0","3","0","0","52","0","0","9","0","159"
"2013年02月05日16時40分","13","0","11","0","0","268","0","0","0","0","6"
"2013年02月05日16時45分","115","0","8","0","0","9","0","0","164","0","0"
"2013年02月05日16時50分","247","0","0","0","0","12","0","0","24","0","0"
"2013年02月05日16時55分","52","0","3","0","0","143","0","0","99","0","0"
"2013年02月05日17時00分","0","0","0","0","0","222","0","0","76","0","0"
"2013年02月05日17時05分","201","12","0","0","0","81","0","0","0","0","2"
"2013年02月05日17時10分","1","6","25","0","0","8","0","0","15","0","243"
"2013年02月05日17時15分","1","0","0","0","0","0","0","0","0","0","170"
"2013年02月05日17時20分","0","10","0","0","0","0","0","0","0","0","289"
"2013年02月05日17時25分","0","0","0","3","0","0","0","0","0","0","296"
"2013年02月05日17時30分","0","0","0","6","0","0","0","0","0","0","293"
"2013年02月05日17時35分","37","0","41","0","0","0","0","0","29","0","190"
"2013年02月05日17時40分","0","0","0","0","0","0","0","0","29","0","268"
"2013年02月05日17時45分","0","0","17","0","0","0","0","0","21","0","261"
"2013年02月05日17時50分","172","0","0","0","0","0","0","0","0","0","125"
"2013年02月05日17時55分","271","0","0","0","0","0","0","0","0","0","26"
"2013年02月05日18時00分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日18時05分","3","0","23","0","0","0","0","0","21","0","252"
"2013年02月05日18時10分","0","0","2","0","0","0","0","0","31","0","266"
"2013年02月05日18時15分","0","31","2","0","0","0","0","0","32","0","232"
"2013年02月05日18時20分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日18時25分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日18時30分","0","0","0","0","0","0","0","0","0","0","274"
"2013年02月05日18時35分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日18時40分","0","0","0","0","0","0","0","0","0","0","185"
"2013年02月05日18時45分","0","0","0","0","0","0","0","0","0","0","220"
"2013年02月05日18時50分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月05日18時55分","0","64","15","0","0","92","0","0","0","0","126"
"2013年02月05日19時00分","0","0","5","0","0","14","0","0","0","0","280"
"2013年02月05日19時05分","0","0","25","0","0","0","0","0","5","0","210"
"2013年02月05日19時10分","0","0","11","0","0","0","0","0","160","0","123"
"2013年02月05日19時15分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月05日19時20分","0","0","0","0","0","0","0","0","0","0","237"
"2013年02月05日19時25分","0","0","0","0","0","0","0","0","0","0","249"
"2013年02月05日19時30分","0","0","0","0","0","0","0","0","33","0","263"
"2013年02月05日19時35分","0","0","3","0","0","0","0","0","0","0","294"
"2013年02月05日19時40分","0","0","0","0","0","0","0","0","25","0","273"
"2013年02月05日19時45分","0","0","0","0","0","0","0","0","174","0","122"
"2013年02月05日19時50分","0","0","5","0","0","18","0","0","77","0","196"
"2013年02月05日19時55分","0","0","0","0","0","0","0","0","34","0","262"
"2013年02月05日20時00分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月05日20時05分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月05日20時10分","115","0","0","0","0","0","0","0","0","0","182"
"2013年02月05日20時15分","60","101","38","0","0","0","0","0","7","0","90"
"2013年02月05日20時20分","175","5","12","0","0","8","0","0","61","0","35"
"2013年02月05日20時25分","115","10","28","4","0","10","0","0","4","0","118"
"2013年02月07日09時00分","90","86","39","0","0","0","0","0","0","0","78"
"2013年02月07日09時05分","49","0","22","0","0","0","0","0","0","0","225"
"2013年02月07日09時10分","0","0","0","0","0","0","0","0","0","0","297"
"2013年02月07日09時15分","0","0","2","127","0","0","0","0","0","0","166"
"2013年02月07日09時20分","0","0","1","3","0","0","0","0","0","0","293"
"2013年02月07日09時25分","0","0","0","25","0","0","0","0","0","0","274"
"2013年02月07日09時30分","57","0","0","0","0","0","0","0","0","0","241"
"2013年02月07日09時35分","57","0","0","10","0","0","0","0","0","0","229"
"2013年02月07日09時40分","0","0","0","119","0","0","0","0","0","0","177"
"2013年02月07日09時45分","0","0","0","40","0","0","0","0","0","0","257"
"2013年02月07日09時50分","0","0","0","57","0","0","0","0","0","0","241"
"2013年02月07日09時55分","0","0","0","48","0","0","0","0","0","0","249"
"2013年02月07日10時00分","151","0","0","0","0","0","0","0","0","0","146"
"2013年02月07日10時05分","0","0","0","33","0","0","0","0","0","0","264"
"2013年02月07日10時10分","134","0","0","0","0","0","0","0","0","0","161"
"2013年02月07日10時15分","92","33","9","43","0","11","0","0","0","0","108"
"2013年02月07日10時20分","92","0","0","0","0","0","0","0","0","0","205"
"2013年02月07日10時25分","1","0","0","0","0","0","0","0","0","0","295"
"2013年02月07日10時30分","0","0","51","42","0","0","0","0","0","0","204"
"2013年02月07日10時35分","0","0","0","83","0","0","0","0","0","0","215"
"2013年02月07日10時40分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月07日10時45分","0","0","0","2","0","0","0","0","0","0","295"
"2013年02月07日10時50分","0","0","0","7","0","0","0","0","0","0","290"
"2013年02月07日10時55分","0","0","0","19","0","0","0","0","0","0","276"
"2013年02月07日11時00分","17","0","0","63","0","0","0","0","0","0","217"
"2013年02月07日11時05分","27","0","0","0","0","0","0","0","0","0","269"
"2013年02月07日11時10分","0","0","0","8","0","0","0","0","0","0","288"
"2013年02月07日11時15分","0","0","52","39","0","0","0","0","62","0","143"
"2013年02月07日11時20分","0","43","0","127","0","0","0","0","0","0","125"
"2013年02月07日11時25分","0","0","0","12","0","0","0","0","0","0","284"
"2013年02月07日11時30分","0","0","3","50","0","0","0","0","0","0","243"
"2013年02月07日11時35分","0","0","0","3","0","0","0","0","0","0","295"
"2013年02月07日11時40分","0","0","0","3","0","0","0","0","0","0","295"
"2013年02月07日11時45分","0","0","1","110","0","0","0","0","0","0","186"
"2013年02月07日11時50分","0","0","0","0","0","0","0","0","20","0","276"
"2013年02月07日11時55分","0","0","0","13","0","0","0","0","0","0","283"
"2013年02月07日12時00分","0","0","0","14","0","0","0","0","119","0","163"
"2013年02月07日12時05分","0","0","0","0","0","0","0","0","88","0","208"
"2013年02月07日12時10分","0","0","8","0","0","0","0","0","47","0","241"
"2013年02月07日12時15分","0","0","0","12","0","0","0","0","63","0","220"
"2013年02月07日12時20分","0","0","8","60","0","0","0","0","6","0","221"
"2013年02月07日12時25分","0","0","0","7","0","0","0","0","0","0","290"
"2013年02月07日12時30分","0","0","0","5","0","0","0","0","0","0","293"
"2013年02月07日12時35分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月07日12時40分","0","0","0","0","0","0","0","0","0","0","296"
"2013年02月07日12時45分","54","0","0","0","0","0","0","0","3","0","240"
"2013年02月07日12時50分","8","0","0","0","0","0","0","0","0","0","290"
"2013年02月07日12時55分","0","0","7","18","0","0","0","0","0","0","157"
"2013年02月07日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時55分","0","0","0","0","0","0","0","0","0","0","231"
"2013年02月07日14時00分","0","0","0","81","0","0","0","0","17","0","197"
"2013年02月07日14時05分","0","0","0","7","0","0","0","0","0","0","288"
"2013年02月07日14時10分","0","0","1","35","0","0","0","0","0","0","261"
"2013年02月07日14時15分","0","0","0","21","0","0","0","0","0","0","276"
"2013年02月07日14時20分","88","0","0","0","0","0","0","0","0","0","202"
"2013年02月07日14時25分","47","79","0","0","0","0","0","0","0","0","170"
"2013年02月07日14時30分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月07日14時35分","0","0","0","0","0","0","0","0","0","0","296"
"2013年02月07日14時40分","0","0","0","0","0","0","0","0","0","0","296"
"2013年02月07日14時45分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月07日14時50分","0","0","31","41","0","0","0","0","0","0","226"
"2013年02月07日14時55分","0","0","0","19","0","0","0","0","0","0","277"
"2013年02月07日15時00分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月07日15時05分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月07日15時10分","68","0","0","27","0","0","0","0","0","0","200"
"2013年02月07日15時15分","0","0","9","41","0","0","0","0","0","0","246"
"2013年02月07日15時20分","0","0","0","0","0","0","0","0","0","0","297"
"2013年02月07日15時25分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月07日15時30分","0","0","0","0","0","0","0","0","0","0","297"
"2013年02月07日15時35分","0","0","0","3","0","0","0","0","0","0","294"
"2013年02月07日15時40分","26","0","0","32","0","0","0","0","0","0","239"
"2013年02月07日15時45分","0","0","0","197","0","0","0","0","0","0","41"
"2013年02月07日15時50分","53","0","9","8","0","0","0","0","0","0","179"
"2013年02月07日15時55分","14","0","80","35","0","0","0","0","0","0","169"
"2013年02月07日16時00分","26","0","0","3","0","0","0","0","0","0","269"
"2013年02月07日16時05分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月07日16時10分","110","0","0","0","0","0","0","0","0","0","188"
"2013年02月07日16時15分","0","0","2","0","0","0","0","0","0","0","295"
"2013年02月07日16時20分","0","0","0","0","0","0","0","0","0","0","297"
"2013年02月07日16時25分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月07日16時30分","72","0","0","0","0","0","0","0","0","0","224"
"2013年02月07日16時35分","0","0","0","8","0","0","0","0","4","0","284"
"2013年02月07日16時40分","0","0","0","5","0","0","0","0","0","0","292"
"2013年02月07日16時45分","71","75","41","1","0","0","0","0","0","0","107"
"2013年02月07日16時50分","1","0","165","0","0","0","0","0","0","0","132"
"2013年02月07日16時55分","187","0","0","0","0","0","0","0","1","0","110"
"2013年02月07日17時00分","10","0","0","0","0","0","0","0","0","0","285"
"2013年02月07日17時05分","0","0","0","131","0","0","0","0","23","0","143"
"2013年02月07日17時10分","109","0","0","5","0","0","0","0","0","0","182"
"2013年02月07日17時15分","12","13","0","0","0","0","0","0","0","0","273"
"2013年02月07日17時20分","137","0","0","0","0","0","0","0","0","0","160"
"2013年02月07日17時25分","172","0","0","0","0","0","0","0","0","0","126"
"2013年02月07日17時30分","1","0","0","8","0","0","0","0","0","0","289"
"2013年02月07日17時35分","66","0","0","0","0","0","0","0","0","0","218"
"2013年02月07日17時40分","21","0","0","0","0","0","0","0","0","0","275"
"2013年02月07日17時45分","86","0","0","0","0","0","0","0","0","0","212"
"2013年02月07日17時50分","0","0","0","0","0","0","0","0","46","0","251"
"2013年02月07日17時55分","0","0","0","0","0","0","0","0","102","0","194"
"2013年02月07日18時00分","0","0","0","0","0","0","0","0","0","0","297"
"2013年02月07日18時05分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月07日18時10分","2","0","0","0","0","0","0","0","0","0","294"
"2013年02月07日18時15分","0","0","0","0","0","0","0","0","0","0","299"
"2013年02月07日18時20分","0","57","0","0","0","0","0","0","0","0","239"
"2013年02月07日18時25分","51","6","34","0","0","84","0","0","76","0","42"
"2013年02月07日18時30分","67","0","51","14","0","13","0","0","0","0","103"
"2013年02月07日18時35分","0","0","0","0","0","0","0","0","49","0","248"
"2013年02月07日18時40分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月07日18時45分","46","0","51","0","0","0","0","0","0","0","180"
"2013年02月07日18時50分","0","0","0","41","0","0","0","0","0","0","257"
"2013年02月07日18時55分","0","0","45","1","0","0","0","0","44","0","204"
"2013年02月07日19時00分","0","0","1","75","0","0","0","0","74","0","145"
"2013年02月07日19時05分","0","0","23","44","0","0","0","0","205","0","24"
"2013年02月07日19時10分","0","8","247","14","0","0","0","0","0","0","27"
"2013年02月07日19時15分","129","8","37","0","0","44","0","0","23","0","45"
"2013年02月07日19時20分","39","0","0","0","0","144","0","0","6","0","0"
"2013年02月07日19時25分","0","0","0","0","0","178","0","0","87","0","3"
"2013年02月07日19時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日19時35分","16","0","0","0","0","0","0","0","96","0","0"
"2013年02月07日19時40分","32","0","0","0","0","125","0","0","95","0","0"
"2013年02月07日19時45分","0","0","3","0","0","273","0","0","22","0","0"
"2013年02月07日19時50分","281","0","0","0","0","16","0","0","0","0","0"
"2013年02月07日19時55分","84","10","81","10","0","7","0","0","6","0","63"
"2013年02月07日20時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日20時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日21時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日07時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日08時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日08時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日08時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日08時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日08時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日08時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日08時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日08時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日08時40分","0","0","0","0","0","0","0","0","0","0","0"
