"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月08日20時05分","30","2","0","0","0","0","0","0","0","0","0"
"2013年02月08日20時10分","0","0","2","0","0","0","0","0","4","0","29"
"2013年02月08日20時15分","0","0","4","0","0","0","0","0","160","0","0"
"2013年02月08日20時20分","0","0","0","44","0","2","0","0","8","0","7"
"2013年02月08日20時25分","0","0","0","110","0","8","0","0","0","0","0"
"2013年02月08日20時30分","0","0","2","32","0","7","0","0","22","0","0"
"2013年02月08日20時35分","0","0","3","10","0","2","0","0","8","0","2"
"2013年02月08日20時40分","0","0","4","0","0","114","0","0","27","0","0"
"2013年02月08日20時45分","0","0","0","221","0","4","0","0","0","0","0"
"2013年02月08日20時50分","0","0","0","59","0","78","0","0","0","0","7"
"2013年02月08日20時55分","0","0","0","0","0","67","0","0","0","0","12"
"2013年02月08日21時00分","0","0","0","0","0","31","0","0","0","0","19"
"2013年02月08日21時05分","0","0","0","0","0","37","0","0","0","0","19"
"2013年02月12日09時00分","0","11","0","0","0","0","0","0","0","0","0"
"2013年02月12日09時05分","0","0","0","0","0","20","0","0","0","0","0"
"2013年02月12日09時10分","73","0","18","0","0","2","0","0","0","0","0"
